,SOURCE,kcat
4.2.1.3,BRENDA,999.0
5.4.2.10,BRENDA and SABIO-RK,7.9
2.1.1.10,BRENDA and SABIO-RK,999.0
3.1.1.31,SABIO-RK,14.3
2.5.1.16,BRENDA and SABIO-RK,999.0
6.2.1.20,BRENDA,0.016
4.2.1.91,BRENDA and SABIO-RK,6.1
2.7.7.3,BRENDA and SABIO-RK,26.5
2.8.3.8,BRENDA,290.0
1.3.8.8,BRENDA and SABIO-RK,11.9
2.7.1.156,BRENDA,0.251
6.3.4.18,BRENDA,24.83
1.1.1.267,BRENDA and SABIO-RK,9833.333333333334
1.1.1.40,BRENDA and SABIO-RK,4670.0
1.1.1.290,BRENDA,1.4
4.1.1.15,BRENDA and SABIO-RK,100.7
4.1.1.37,BRENDA,999.0
3.1.3.74,BRENDA and SABIO-RK,19.4
2.1.2.11,BRENDA,0.783
2.7.4.4,BRENDA,500.0
2.5.1.90,BRENDA,2.0
1.4.4.2,BRENDA,6.08
1.1.1.205,BRENDA and SABIO-RK,999.0
2.7.1.17,BRENDA and SABIO-RK,6600.0
3.2.2.1,BRENDA and SABIO-RK,62.0
4.1.1.9,BRENDA and SABIO-RK,135.0
1.4.3.16,BRENDA,10.6
2.5.1.55,BRENDA and SABIO-RK,100.0
3.5.1.14,BRENDA,21300.0
2.7.1.31,BRENDA and SABIO-RK,350.0
6.2.1.1,BRENDA and SABIO-RK,9400.0
2.7.1.4,BRENDA and SABIO-RK,8897.0
2.4.1.21,BRENDA,412.0
6.3.5.2,BRENDA,999.0
1.17.4.1,BRENDA,12.9
2.7.7.4,BRENDA and SABIO-RK,260.0
3.2.1.122,BRENDA and SABIO-RK,128.0
3.1.3.6,BRENDA and SABIO-RK,176.0
2.7.7.60,BRENDA and SABIO-RK,999.0
1.1.1.215,BRENDA and SABIO-RK,48.2
3.6.5.1,BRENDA and SABIO-RK,21.0
4.1.1.85,BRENDA and SABIO-RK,64.0
4.1.3.30,BRENDA and SABIO-RK,105.0
2.7.1.213,BRENDA,280.0
2.7.2.8,BRENDA,187.5
1.1.1.25,BRENDA and SABIO-RK,999.0
5.3.1.13,BRENDA and SABIO-RK,255.0
3.6.4.4,BRENDA,999.0
3.2.2.16,BRENDA,20.0
3.1.4.53,BRENDA,6.7
2.6.1.42,BRENDA and SABIO-RK,1236.0
6.1.1.24,BRENDA and SABIO-RK,0.1
3.1.4.2,BRENDA,220.0
1.1.1.351,BRENDA,325.0
2.7.7.12,BRENDA and SABIO-RK,999.0
4.2.3.5,BRENDA,0.87
1.1.1.22,BRENDA and SABIO-RK,105.0
2.7.1.35,BRENDA,131.0
5.3.1.1,BRENDA and SABIO-RK,57500000.0
3.6.1.40,BRENDA,1.1
2.7.1.30,BRENDA,4900.0
2.7.7.24,BRENDA,41.0
4.2.1.46,BRENDA,466.6
3.1.4.16,BRENDA and SABIO-RK,72.0
3.4.19.13,BRENDA,12.45
2.3.3.1,BRENDA and SABIO-RK,167.0
4.2.1.113,BRENDA and SABIO-RK,150.0
4.3.1.18,BRENDA and SABIO-RK,118.0
3.5.99.6,BRENDA and SABIO-RK,1800.0
1.3.1.98,SABIO-RK,62.0
2.7.4.9,BRENDA and SABIO-RK,38.1
4.2.3.3,BRENDA and SABIO-RK,600.0
5.4.2.7,BRENDA,185.0
3.5.4.2,BRENDA and SABIO-RK,200.0
4.6.1.2,BRENDA,290.0
2.3.1.174,BRENDA and SABIO-RK,7.83333333
2.1.3.3,BRENDA and SABIO-RK,3580.0
3.2.2.4,BRENDA,62.0
3.6.3.18,BRENDA,0.33
2.3.1.241,BRENDA,131.0
1.1.1.28,BRENDA and SABIO-RK,29000.0
4.2.1.122,BRENDA and SABIO-RK,3.46
1.4.9.2,BRENDA and SABIO-RK,91.0
1.1.1.282,BRENDA and SABIO-RK,142000.0
2.4.2.1,BRENDA and SABIO-RK,28000.0
1.4.3.4,BRENDA and SABIO-RK,834.0
2.7.9.2,BRENDA,1570.0
3.6.3.2,BRENDA,23.0
1.2.1.24,BRENDA,69.0
4.4.1.21,BRENDA and SABIO-RK,999.0
1.3.1.10,BRENDA and SABIO-RK,130.2
1.1.1.72,BRENDA and SABIO-RK,57.2
1.2.1.70,BRENDA and SABIO-RK,999.0
3.1.3.9,BRENDA,700.0
2.6.1.5,BRENDA and SABIO-RK,576.0
6.3.1.20,BRENDA,0.258
2.7.1.178,BRENDA,60.8
2.1.2.10,BRENDA,20.9
2.7.1.39,BRENDA and SABIO-RK,40.8
3.5.2.3,BRENDA and SABIO-RK,195.0
3.6.3.14,BRENDA,390.0
4.3.1.8,BRENDA,0.25
5.1.1.3,BRENDA and SABIO-RK,116600.0
4.1.1.17,BRENDA and SABIO-RK,999.0
2.2.1.7,BRENDA,999.0
3.6.1.61,BRENDA,4.1
3.6.3.19,BRENDA,7.8
4.1.1.47,BRENDA,18.9
4.2.1.59,SABIO-RK,0.1
3.1.3.11,BRENDA and SABIO-RK,999.0
1.1.1.1,BRENDA and SABIO-RK,4808.0
5.3.1.24,BRENDA and SABIO-RK,999.0
5.4.2.11,BRENDA and SABIO-RK,3200.0
2.8.1.1,BRENDA and SABIO-RK,766.666667
3.4.16.4,BRENDA and SABIO-RK,350.0
5.4.2.2,BRENDA and SABIO-RK,999.0
6.3.2.4,BRENDA and SABIO-RK,48.5
3.6.4.12,BRENDA,7980.0
5.3.1.9,BRENDA and SABIO-RK,11420.0
6.3.2.3,BRENDA and SABIO-RK,55.0
2.5.1.10,BRENDA and SABIO-RK,43.5
3.5.1.116,BRENDA and SABIO-RK,761.0
4.3.2.1,BRENDA and SABIO-RK,2930.0
1.4.1.4,BRENDA and SABIO-RK,28650.0
1.11.1.1,BRENDA and SABIO-RK,999.0
2.7.1.2,BRENDA and SABIO-RK,1492.0
1.1.1.350,BRENDA,62.39
3.5.1.19,BRENDA,135.7
2.7.4.14,BRENDA and SABIO-RK,410.0
