,kcat,MW,kcat_MW
NDPK6_num2,664696.5401,61.8538,10746.252293311001
NDPK8_num1,664696.5401,23.586,28181.825663529213
NDPK8_num2,664696.5401,61.8538,10746.252293311001
PYNP2r,263696.0,162.9545,1618.2185824877497
DURIPP_num1,108121.8461,94.4142,1145.1862760050924
DURIPP_num2,108121.8461,155.6995,694.4264181965902
CYSDS_num1,16547.36585,172.8495,95.732795582284
CYSDS_num2,16547.36585,211.0938,78.38868716182095
TRPAS2,18958.90909,211.0938,89.81272349069467
NDP3_num1,2073051.733,17.4329,118916.05716776899
NDP3_num2,2073051.733,35.353,58638.636975645626
CDPPH,1828990.311,35.353,51735.08078522332
NDP7,1828990.311,35.353,51735.08078522332
PMDPHT_num1,5574.399998,30.196,184.60723267982513
PMDPHT_num2,5574.399998,27.122,205.53056551876705
ILETA,802172.3112,204.5619,3921.4160173522046
VALTA,690943.2725,204.5619,3377.673322842621
ORPT,15318.36,47.134,324.995968939619
RBFSa,1006.207715,969.3906,1.0379796492765663
DHAD2,167295.7863,131.0631,1276.452230261607
G1PP_num1,263400.0,22.732,11587.189864508182
G1PP_num2,263400.0,23.007,11448.689529273699
G1PP_num3,263400.0,29.721,8862.420510749975
PFL_num1,28737.0,118.3894,242.73287980173902
PFL_num2,28737.0,198.9187,144.4660557303059
PFL_num3,28737.0,114.1398,251.77019759978555
PFL_num4,28737.0,213.2029,134.7870971736313
FRD2,3770063.233,121.2166,31101.872458062673
PTAr_num1,5373508.068,463.0325,11605.034350720522
PTAr_num2,5373508.068,72.1335,74493.93233379775
ACKr_num1,2953305.5530000003,42.4337,69598.11548368396
ACKr_num2,2953305.5530000003,43.2904,68220.79613493985
ACKr_num3,2953305.5530000003,43.3841,68073.45439919234
UDCPDPS,8235.163739,56.8883,144.7602360942408
TDSK,8640.0,35.5893,242.76959647984083
NTPP1_num1,51435.72,14.9271,3445.7945615692265
NTPP1_num2,51435.72,60.8246,845.6400864124056
NTPP2_num1,24891.6,14.9271,1667.5442651285246
NTPP2_num2,24891.6,60.8246,409.23573685646926
NTPTP1,14400000.0,356.2976,40415.65253316329
IPMD_num1,79982.47458,79.034,1012.0008424222485
IPMD_num2,79982.47458,40.3149,1983.9432710982785
AIRC3,41068.35443,142.2426,288.72049885196134
ADSL2r,407904.3968,206.1712,1978.4741845611802
PUNP5_num1,4521917.455,179.0077,25261.022039834043
PUNP5_num2,4521917.455,155.6995,29042.594581228586
PUNP6_num1,122306.4,155.6995,785.5285341314519
PUNP6_num2,122306.4,179.0077,683.2465865993473
PUNP7,122306.4,179.0077,683.2465865993473
RNDR1_num1,10192.2,274.1399,37.17882730678752
RNDR1_num2,10192.2,270.3917,37.69420437091819
RNDR3_num1,10192.2,270.3917,37.69420437091819
RNDR3_num2,10192.2,274.1399,37.17882730678752
RNDR4_num1,10048.049729999999,270.3917,37.16108789581928
RNDR4_num2,10048.049729999999,274.1399,36.65299990990001
TMDS,13714.11185,60.9594,224.97124069462623
TMDK1,3096.0,23.4566,131.9884382220782
PPCDC,6720.000001,521.2577,12.891895891418008
DHQTi,287753.1629,54.9333,5238.22823132781
PUNP1,103077.0,155.6995,662.0252473514687
PUNP2,122306.4,155.6995,785.5285341314519
PUNP3_num1,177230.7692,179.0077,990.0734392989799
PUNP3_num2,177230.7692,155.6995,1138.2873368251023
LYSAM,149549.4,38.75,3859.3393548387094
DHAD1,167295.7863,131.0631,1276.452230261607
IPPMIa,9598.568465,72.3693,132.6331533537011
