GO,ec,kcat
GO:0036381,4.3.3.6,0.127
GO:0004123,4.4.1.1,89.0
GO:0044540,4.4.1.1,89.0
GO:0080146,4.4.1.1,89.0
GO:0019148,4.4.1.15,13800.0
GO:0043768,4.4.1.21,999.0
GO:0004462,4.4.1.5,6700.0
GO:0004121,4.4.1.8,34.1
GO:0004016,4.6.1.1,4600.0
GO:0008685,4.6.1.12,2.7
GO:0004383,4.6.1.2,290.0
GO:0004325,4.99.1.1,6.7
GO:0008784,5.1.1.1,7504.0
GO:0008881,5.1.1.3,116600.0
GO:0008837,5.1.1.7,128.0
GO:0004750,5.1.3.1,7100.0
GO:0008830,5.1.3.13,999.0
GO:0008761,5.1.3.14,52.0
GO:0003978,5.1.3.2,38295.0
GO:0004034,5.1.3.3,22000.0
GO:0008742,5.1.3.4,36.5
GO:0004807,5.3.1.1,57500000.0
GO:0008880,5.3.1.12,196.0
GO:0019146,5.3.1.13,255.0
GO:0008740,5.3.1.14,3150.0
GO:0003949,5.3.1.16,32.0
GO:0004640,5.3.1.24,999.0
GO:0008790,5.3.1.3,0.1823
GO:0008733,5.3.1.4,3657.0
GO:0009045,5.3.1.5,230.0
GO:0004751,5.3.1.6,52000.0
GO:0004476,5.3.1.8,106000.0
GO:0004347,5.3.1.9,11420.0
GO:0004452,5.3.3.2,29900.0
GO:0047614,5.3.3.7,18000.0
GO:0004165,5.3.3.8,999.0
GO:0008966,5.4.2.10,7.9
GO:0004614,5.4.2.2,999.0
GO:0008973,5.4.2.7,185.0
GO:0004615,5.4.2.8,134.9
GO:0050066,5.4.3.2,83.0
GO:0042286,5.4.3.8,0.95
GO:0008909,5.4.4.2,50.4
GO:0034023,5.4.99.18,15.6
GO:0004106,5.4.99.5,366000.0
GO:0008767,5.4.99.9,100.0
GO:0004818,6.1.1.17,4.4
GO:0050561,6.1.1.24,0.1
GO:0003987,6.2.1.1,9400.0
GO:0043758,6.2.1.13,411.0
GO:0008922,6.2.1.20,0.016
GO:0008756,6.2.1.26,121.7
GO:0047475,6.2.1.30,60.5
GO:0004775,6.2.1.5,999.0
GO:0034024,6.3.1.11,5.94
GO:0004356,6.3.1.2,999.0
GO:0008795,6.3.1.5,0.2
GO:0008885,6.3.1.8,999.0
GO:0047479,6.3.1.9,999.0
GO:0004592,6.3.2.1,6.08
GO:0047480,6.3.2.10,999.0
GO:0008765,6.3.2.13,8.83
GO:0004326,6.3.2.17,999.0
GO:0004357,6.3.2.2,7920.0
GO:0004363,6.3.2.3,55.0
GO:0008716,6.3.2.4,48.5
GO:0004632,6.3.2.5,2.9
GO:0008763,6.3.2.8,999.0
GO:0008764,6.3.2.9,999.0
GO:0004141,6.3.3.3,49.0
GO:0004637,6.3.4.13,999.0
GO:0034028,6.3.4.18,24.83
GO:0003883,6.3.4.2,999.0
GO:0004516,6.3.4.21,999.0
GO:0004329,6.3.4.3,2100.0
GO:0004019,6.3.4.4,999.0
GO:0003952,6.3.5.1,999.0
GO:0003922,6.3.5.2,999.0
GO:0004642,6.3.5.3,999.0
GO:0004066,6.3.5.4,9.19
GO:0004088,6.3.5.5,2660.0
GO:0003989,6.4.1.2,36.8
