,MW
INSTtex_num3,117.9984
INSTtex_num4,121.1028
INStex,33.5886
Ktex_num1,41.2193
Ktex_num2,116.7646
Ktex_num3,117.9984
Ktex_num4,121.1028
D_LACtex_num1,41.2193
D_LACtex_num2,116.7646
D_LACtex_num3,117.9984
D_LACtex_num4,121.1028
NTD8pp_num1,104.4129
NTD8pp_num2,60.8232
FRULYStex_num1,41.2193
FRULYStex_num2,116.7646
FRULYStex_num3,117.9984
FRULYStex_num4,121.1028
GALCTt2rpp_num1,49.1415
GALCTt2rpp_num2,49.0087
GALt2pp,50.9819
ASPtex_num1,41.2193
ASPtex_num2,116.7646
ASPtex_num3,117.9984
ASPtex_num4,121.1028
ABUTt2pp,51.0795
CYSabcpp,133.994
SBTptspp,203.4571
TREHpp,63.636
CYTBDpp_num1,100.3425
CYTBDpp_num2,104.6987
CYTBD2pp,100.3425
ACt2rpp,20.0706
ATPS4rpp_num1,543.6382
ATPS4rpp_num2,530.0066
INDOLEtex_num1,41.2193
INDOLEtex_num2,116.7646
INDOLEtex_num3,117.9984
INDOLEtex_num4,121.1028
L_LACtex_num1,121.1028
L_LACtex_num2,117.9984
L_LACtex_num3,41.2193
L_LACtex_num4,116.7646
ACt4pp,118.3928
ADEt2rpp_num1,46.8652
ADEt2rpp_num2,48.8675
ADEt2rpp_num3,46.9331
ADNt2pp_copy1_num1,46.3887
ADNt2pp_copy1_num2,43.4752
ADNt2pp_copy2,46.1393
ALAabcpp,173.063
ALLabcpp,158.2843
ALLTNt2rpp,52.4554
ARBabcpp,213.9967
ECOAH8_num1,77.0713
ECOAH8_num2,159.1859
GLCDpp_num1,86.7463
GLCDpp_num2,41.054
GUAtpp_num1,46.7574
GUAtpp_num2,45.7109
HYD2pp_num1,482.9282
HYD2pp_num2,181.7461
HYXNtpp_num1,45.7109
HYXNtpp_num2,46.7574
FE3DCITabcpp,158.5501
CPGNtonex,149.1395
GLCRtex_num1,41.2193
GLCRtex_num2,116.7646
GLCRtex_num3,117.9984
GLCRtex_num4,121.1028
GLCNtex_num1,41.2193
GLCNtex_num2,116.7646
GLCNtex_num3,117.9984
GLCNtex_num4,121.1028
GLCURtex_num1,41.2193
GLCURtex_num2,116.7646
GLCURtex_num3,117.9984
GLCURtex_num4,121.1028
GLNtex_num1,121.1028
GLNtex_num2,117.9984
GLNtex_num3,41.2193
GLNtex_num4,116.7646
O2tex_num1,41.2193
O2tex_num2,116.7646
O2tex_num3,117.9984
O2tex_num4,121.1028
OCTAtex_num1,41.2193
OCTAtex_num2,116.7646
OCTAtex_num3,117.9984
OCTAtex_num4,121.1028
ORNtex_num1,41.2193
ORNtex_num2,116.7646
ORNtex_num3,117.9984
ORNtex_num4,121.1028
ECOAH5_num1,77.0713
ECOAH5_num2,159.1859
DHFS,45.4051
CITt7pp,53.0919
CRNt7pp,169.7599
CHLabcpp,133.6852
DGSNt2pp,46.3887
DINSt2pp,46.3887
