,MW,kcat,kcat_MW,source
NTD9_num4,27.1628,347934.6,12809.231743413786,
NTD10,26.9001,347934.6,12934.323664224297,
ADPT,39.7172,31931.18666666667,803.963689954646,
ADK1,23.5857,106886.14702108096,4531.820001996166,
OCTDPS,70.4332,2412.0,34.24521390480625,
AACPS2,89.3385,57.6,0.6447388304034655,
AACPS3,89.3385,57.6,0.6447388304034655,
AACPS4,89.3385,387265.32,4334.80884501083,
AMANK,29.6435,146080.0,4927.893130028506,
ACNML,130.3723,35818.8,274.74241077284057,
CAT_num1,336.6462,16882933.333333332,50150.37547827164,
CAT_num2,320.0912,16882933.333333332,52744.13458830898,
SERASr,141.9892,387265.32,2727.4280015663157,
DMSOR2,144.0922,387265.32,2687.621675566061,
DDGALK,31.3732,67500.0,2151.517856004488,
AB6PGH_num1,53.1607,91298.0347826087,1717.3971520805535,
AB6PGH_num2,55.3601,91298.0347826087,1649.1667244569405,
AB6PGH_num3,53.9343,91298.0347826087,1692.7638772100256,
AMALT1,78.5026,466469.1692307692,5942.08560265226,
MLTP2,181.0425,177517.96085106386,980.531979237272,
PACCOAL,48.9523,114545.45454545454,2339.940197814087,
GP4GH,31.2963,387265.32,12374.156689448911,
ACGAMT,81.9135,387265.32,4727.734988738121,
GMHEPK,102.1,387265.32,3793.0001958863854,
TRE6PS,53.6105,734256.0,13696.122960987119,
UDCPDP_num1,29.0209,387265.32,13344.35940994249,
UDCPDP_num2,22.3984,387265.32,17289.865347524825,
UDCPDP_num3,29.7584,387265.32,13013.647239098877,
TREH,63.6959,1125766.8,17674.085773181632,
CYTK1,24.746,544525.2000000001,22004.574476683105,
CYTK2,24.746,183744.0,7425.200032328457,
GK1,47.1848,1190597.1454535902,25232.641559434185,
HACD1_num1,159.1859,8698746.685714286,54645.20843689224,
HACD1_num2,77.0713,8698746.685714286,112866.22498536145,
HACD2_num1,159.1859,4965491.502439024,31193.035956319145,
HACD2_num2,77.0713,4965491.502439024,64427.24467394509,
ACACCT_num1,92.9707,1044000.0,11229.344298795213,
ACACCT_num2,57.5616,1044000.0,18137.091394262843,
BUTCT,92.9707,1044000.0,11229.344298795213,
2DGULRx,70.7902,387265.32,5470.60638336945,
G1PTT_num1,130.7727,17419.89,133.20738961572255,
G1PTT_num2,130.936,17419.89,133.0412567972139,
TDPGDH_num1,39.7534,340896.96,8575.29066696182,
TDPGDH_num2,81.1156,340896.96,4202.606650262095,
UDPGALM,42.9653,49496.088,1152.0014523347909,
TDPDRE,21.2698,498055.95,23416.108755136393,
TDPDRR,32.6937,115920.0,3545.637232861377,
G3PD6,148.4219,387265.32,2609.219528923966,
ALLTN,198.4043,2533727.4545333455,12770.526921711604,
UAPGR,37.8506,107818.71403464668,2848.533815438769,
NDPK7_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK7_num2,61.853,664696.5400810477,10746.391283867357,
GLYAT,86.2331,645.72,7.488075924442008,
ADNUC,32.5604,9428.530909090909,289.5704877425004,
GMHEPPA,21.294,387265.32,18186.5934065934,
S7PI,83.258,40848.0,490.6195200461217,
TRPS3,143.4127,83719.34608298421,583.765218024514,
FADRx,26.2417,292201.2,11134.995065106299,
GTPDPK,83.8746,42181.41176470588,502.910437304093,
NDPK2_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK2_num2,61.853,664696.5400810477,10746.391283867357,
NDPK3_num1,61.853,664696.5400810477,10746.391283867357,
NDPK3_num2,23.5857,664696.5400810477,28182.18412347514,
NDPK4_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK4_num2,61.853,664696.5400810477,10746.391283867357,
FCLT_num1,33.0519,1002.52575,30.331864431394266,
FCLT_num2,35.884,1002.52575,27.93795981495932,
FCLT_num3,93.5073,1002.52575,10.72136346574011,
PNTK,72.7186,99922.5391304348,1374.0987743223163,
DPCOAK,22.6214,25492.44,1126.9169901067132,
KDOPS,123.3294,55375.2,449.0024276449897,
KDOPP,79.9875,2125.8,26.576652601969066,
GSPMDA,141.0622,12959.999999999998,91.87436464198063,
GSPMDS,141.0622,12886.105263157895,91.3505195804255,
GUAD,50.2436,495432.0,9860.599160888152,
TMAOR1_num1,144.0922,387265.32,2687.621675566061,
TMAOR1_num2,233.0399,387265.32,1661.7983444036838,
TMAOR2,144.0922,387265.32,2687.621675566061,
DGK1,47.1848,970227.4303023936,20562.28764988712,
DTMPK,23.7828,28589.878186788348,1202.1241479888133,
NDPK1_num1,23.5857,664696.5400810477,28182.18412347514,
NDPK1_num2,61.853,664696.5400810477,10746.391283867357,
TRDR_num1,81.0518,58238.22221333333,718.5308927541811,
TRDR_num2,84.7999,58238.22221333333,686.7722982377733,
PGMT_num1,58.3602,207523.2,3555.9028241849755,
PGMT_num2,20.7796,207523.2,9986.871739590752,
PGMT_num3,23.5646,207523.2,8806.565780874704,
RHCCE,19.416,716.4000000000002,36.89740420271941,
KG6PDC_num1,47.1556,162900.0,3454.520778020001,
KG6PDC_num2,23.4445,162900.0,6948.324767002921,
BETALDHx,211.6421,289208.5714285714,1366.498307418852,
BETALDHy,211.6421,289208.5714285714,1366.498307418852,
MLTG3,69.0402,549960.036,7965.794363284001,
DKGLCNR1_num1,31.1092,387265.32,12448.578555539842,
DKGLCNR1_num2,29.4364,387265.32,13156.001413216292,
NADTRHD,412.4784,548539.2000000001,1329.861636391142,
FMNRx2_num1,42.5061,83016.0,1953.037328759872,
FMNRx2_num2,26.2417,83016.0,3163.514558889096,
FMNRx2_num3,530.1519,83016.0,156.5890832419916,
ACPS1_num1,28.1042,1486.4571428571426,52.890925301454686,
ACPS1_num2,21.7675,1486.4571428571426,68.28791284516565,
GMPS2,117.3571,21729.293808711693,185.1553404839732,
AMPN,323.9654,148800.0,459.30830885026603,
ADCS,71.7406,1786.6191272727274,24.90387768254973,
DHAPT,360.8301,9074.999999999998,25.150340839081878,
UMPK_num1,24.746,595658.6205079978,24070.905217327967,
