,kcat,MW,kcat_MW,source
DHAPT,81935.07541,360.8342,227.0712571313917,
UMPK_num1,42025.02012,24.7463,1698.234488388163,
UMPK_num2,42025.02012,155.8216,269.6995802892539,
DDPGALA,25821.72449,21.3906,1207.1528844445693,
DURIK1,13012.21128,23.4566,554.7356087412497,
UPPRT,10152.73567,67.5998,150.18884183089295,
CTPS2,39600.0,241.4966,163.9774638649157,
NTD1_num1,18381.74158,45.4161,404.740644397031,
NTD1_num2,18381.74158,26.9004,683.3259572348368,
NTD1_num3,18381.74158,25.3006,726.5338205418054,
NTD1_num4,18381.74158,20.255,907.5162468526293,
NTD7_num1,9716.829343,25.399,382.5673980471673,
NTD7_num2,9716.829343,26.9004,361.21505044534655,
NTD7_num3,9716.829343,20.255,479.7249737348803,
NTD7_num4,9716.829343,27.163,357.7229813717189,
PAPPT3,252000.0,39.8748,6319.78091426164,
UAGPT3,61200.0,37.8147,1618.4182341787714,
F6PA_num1,67194.11527000001,229.9682,292.18872552813826,
F6PA_num2,67194.11527000001,23.5552,2852.6234237026233,
AGMHE,38346.39454,174.4658,219.79318892298664,
GMHEPAT,348334.2784,102.1012,3411.6570461463725,
IDOND,19621.3609,37.1466,528.2141811094419,
IDOND2,9973.965222,37.1466,268.5027760817949,
