,kcat_ori,kcat_change,kcat_mw_new,norm_biomass,ori_biomass,new_biomass
HSST,8.0,19.02222222,0.2662141026609903,0.8769972144269698,0.0165855785374623,0.0394368200733588
ARGSL,11.0,230.47744440000002,4.580399227317353,0.8769972144269698,0.01685062490470972,0.3530626331436062
MECDPS,0.09,20.71697756,0.40867853611769767,0.8769972144269698,0.016944027207866745,0.8769972144269613
PPNDH,12.0,1890.0,21.919981628967776,0.8769972144269698,0.017127780708473463,0.8769972144269613
ANPRT,5.0,12.13529219,0.10669336081709233,0.8769972144269698,0.017632545721619455,0.04279521887615623
CYSS,13.20411196,810.0,12.398914406160882,0.8769972144269698,0.01862113250935705,0.8769972144271964
SERAT,38.0,1759.774462,10.004414229009926,0.8769972144269698,0.019902906389685202,0.8769972144270477
PGAMT_reverse,4.0,7.9,0.16616326908353596,0.8769972144269698,0.02030140608545474,0.04009527702041126
IPPMIa_reverse,29.60177974,29.60177974,0.409037806639003,0.8769972144269698,0.02070015601894047,0.02070015601894047
5DOAN,0.01,25.74418929,0.5285423779304794,0.8769972144269698,0.02080429115879217,0.8769972144269635
RBFSb,0.03,9.752638212,0.13866040819112047,0.8769972144269698,0.021804774698626836,0.8769972144269635
PRAGSr,20.0,203.34,4.426169558819688,0.8769972144269698,0.022155293901604634,0.22525186754174342
TYRL,0.006,11.24190817,0.4179754005227524,0.8769972144269698,0.02280824784255733,0.8769972144269633
PPA,84.26185339,390.0,14.497925681402506,0.8769972144269698,0.02289389886198959,0.10596278383348587
ACODA,26.0,3800.0,44.86703418277649,0.8769972144269698,0.02366276752756374,0.8769972144262859
IPPMIb_reverse,34.23397867,34.23397867,0.4730455962680308,0.8769972144269698,0.023939395058078364,0.023939395058078364
SHK3Dr,12.806844300000002,237.0,8.05749721217396,0.8769972144269698,0.026047628801488632,0.4820303801111778
UAGDP,16.0,330.0,2.2362238446515623,0.8769972144269698,0.026162516020276746,0.5396018929186982
G1PACT,16.0,767.834,5.203177877376326,0.8769972144269698,0.026162516020276746,0.8769972144274809
PSCVT,21.0,100.0,2.169395042498449,0.8769972144269698,0.02725412132032928,0.12978153009718837
CHORM,34.19392524,147457.6458,1753.6736136052805,0.8769972144269698,0.028671257930114855,0.8769972144269683
DAPDC,40.0,40.0,0.433113708590269,0.8769972144269698,0.028776558396374104,0.028776558396374104
DDPA,39.08887745,39.08887745,0.5045672775690234,0.8769972144269698,0.030185149332913937,0.030185149332913937
UMPK,11.673616699999998,170.7966667,6.901907222493867,0.8769972144269698,0.030566383590425378,0.4472167079395925
UAGAAT,4.874415813,15.27859144,0.1644990707314316,0.8769972144269698,0.030750628668647955,0.09638617425669821
AHCYSNS,0.03,2.131684167,0.04376464941005463,0.8769972144269698,0.0313457511879123,0.8769972144268803
OMPDC,24.0,68.93421053,1.3080371254542178,0.8769972144269698,0.03138863403441892,0.0901562794492353
HSDy_reverse,177.4334488,177.4334488,0.9980764987731712,0.8769972144269698,0.03259599495797799,0.032596088339521295
