id,kcat
2DGULRx,5.581803834
GGGABADr_reverse,5.578655624
ALAALAr_reverse,5.577565732999999
ACMAMUT,5.565053483
OHPBAT_reverse,5.5625236529999995
CPMPS,5.51984444
IDOND_reverse,5.512896523999999
APH160,5.501070909
AACPS4,5.5004086139999995
F6PA_reverse,5.4989641129999995
FDMO3,5.495989238
FCLPA_reverse,5.483147423999999
TREH,5.479033035
FACOAL180t2pp,5.4713656639999995
G3PAT160,5.460345573
FACOAL120t2pp,5.450711103
IDOND,5.4503780289999995
GLCTR1,5.448875796
RNDR3b,5.448136726
PUNP6,5.446278586
LPLIPAL2ATG181,5.444651914
2DGULRy,5.434004507999999
OCBT_reverse,5.432733255
DHNPTE,5.420232565
DHCINDO,5.415446579
GLYCDx,5.409213319
PAPA181,5.40752689
URIK1,5.395427305
FACOAL100t2pp,5.390292656000001
E4PD_reverse,5.382079956
AACPS8,5.361149442
AACPS7,5.339009755
ALLPI,5.333704853
DKGLCNR2x,5.3214057630000005
REPHACCOAI,5.321365495
CLPNS160pp_reverse,5.319664402
PUNP7,5.316219971000001
NADH5,5.308882327
AMANK,5.261163669
NTD5pp,5.258913301000001
CDGR,5.258402684
ECOAH8,5.2397320060000006
LPLIPAL2A180,5.233252686
GLGC,5.230448783
MPTG,14.71847982
PUNP5,5.215798845
PSURIK,5.214344281
PCNO_reverse,5.212996724
PGSA141,5.208397522
TMAOR2pp,5.202184336
NODOy,5.200549382
CLPNS141pp_reverse,5.196186579
F6PP,5.194175119
2AGPEAT141,5.190078857
SPMDAT2,5.188415821
AGPAT141,5.181088895
PSSA140,5.173578654
TDPDRE,5.162197488
FACOAL141t2pp,5.145697739
EAR140x,5.140681697
ARHGDx,5.1401757219999995
CCGS,5.130992163999999
APG3PAT160,5.113237519
O16AP1pp,5.109556846
NTD1,5.1060393269999995
GMAND,5.096570354
HKNTDH,5.090914714
PSSA181,5.08475489
HADPCOADH3_reverse,5.071775765
SARCOX,5.066727646
DAGK120,5.064435389
GUI1_reverse,5.063143199
G3PAT181,5.061684825
CLPNS180pp,5.047580147
NTD6pp,5.033013805
RMI_reverse,5.031877589
MOCDS,5.029561516
DAGK161,5.0271576510000004
PSD181,5.0193144819999995
NTD1pp,5.017246694
LPLIPAL1E120pp,5.013679326
BETALDHx,5.012049172
CYNTAH,5.006699802
IGPS,49.7921389
PRAIi,114.425
ANPRT,12.13529219
TRPAS2_reverse,5.0
GMPS2,5.0
ACOTA,4.998995586
YUMPS,4.992268118
